,0
IPRU IS Equity,0.5739931213109483
CROMPTON IS Equity,0.5633802791807233
NYKAA IS Equity,1.49810858486138
SBICARD IS Equity,2.8772793710952485
BOS IS Equity,0.6139383562439866
SONACOMS IS Equity,0.44416229590420814
PEPL IS Equity,0.5792147353144274
KPITTECH IS Equity,0.654476341707075
JSW IS Equity,0.41305388357654726
NMDC IS Equity,0.5180540753843998
GNP IS Equity,1.240000758372121
KEII IS Equity,0.5443201134157883
360ONE IS Equity,0.8951615093093277
LAURUS IS Equity,1.885132055417694
BLSTR IS Equity,0.5640248948798174
POWERIND IS Equity,1.8134894666342274
TELX IS Equity,0.5738157438301748
ALKEM IS Equity,0.5887704890067605
OBER IS Equity,0.5213608256865867
IPCA IS Equity,0.6284985669860779
BIL IS Equity,0.5953701932990213
